grid_id	x	y	agb_ton_ha
4	579359.479599999	1473834.93699999	15.47
5	579667.138999999	1473833.51499999	17.48
6	579974.798599999	1473832.097	12.22
10	578437.957099999	1474144.929	15.66
11	578745.612399999	1474143.49699999	15.14
12	579053.2678	1474142.06899999	13.6099999999999
13	579360.9235	1474140.644	8.85999999999999
14	579668.5794	1474139.222	19.02
15	579976.2356	1474137.804	19.34
16	580283.891999999	1474136.38999999	8.57
17	580591.548599999	1474134.979	19.7899999999999
21	578131.759799999	1474452.067	7.89
22	578439.4113	1474450.63199999	8.42
23	578747.0631	1474449.19999999	15.89
24	579054.714999999	1474447.772	11.42
25	579362.367199999	1474446.347	16.57
26	579670.019699999	1474444.92599999	15.65
27	579977.6724	1474443.50799999	20.64
28	580285.3253	1474442.094	16.89
29	580592.9784	1474440.68299999	15.06
30	580900.6317	1474439.276	20.5399999999999
35	577825.569499999	1474759.205	9.91
36	578133.2173	1474757.766	12.69
37	578440.865299999	1474756.331	11.51
38	578748.5135	1474754.89999999	12.24
39	579056.162	1474753.472	16.03
40	579363.810799999	1474752.047	21.8799999999999
41	579671.4597	1474750.62599999	17.8799999999999
42	579979.108899999	1474749.209	14.6
43	580286.758299999	1474747.79499999	6.56
44	580594.407899999	1474746.384	17.7899999999999
45	580902.0577	1474744.97699999	19.59
46	581209.707799999	1474743.574	12.21
47	581517.358099999	1474742.174	7.8
50	577211.7423	1475067.78799999	11.9
51	577519.386199999	1475066.34199999	12.4499999999999
52	577827.0302	1475064.89999999	12.52
53	578134.674499999	1475063.462	15.6999999999999
54	578442.319	1475062.027	16.35
55	578749.9638	1475060.59599999	15.2799999999999
56	579057.6088	1475059.168	17.5599999999999
57	579365.2541	1475057.74399999	13.52
58	579672.8995	1475056.323	15.21
59	579980.545099999	1475054.90599999	11.82
60	580288.190999999	1475053.492	6.55
61	580595.837199999	1475052.08199999	12.74
62	580903.483499999	1475050.675	14.82
63	581211.130099999	1475049.272	14.13
64	581518.7769	1475047.87199999	8.77999999999999
69	576905.569699999	1475374.928	16.9699999999999
70	577213.209799999	1475373.479	17.68
71	577520.850199999	1475372.03399999	15.6099999999999
72	577828.490699999	1475370.59199999	15.71
73	578136.131599999	1475369.154	23.71
74	578443.7726	1475367.71999999	19.48
75	578751.4139	1475366.289	16.51
76	579059.055399999	1475364.861	17.89
77	579366.697099999	1475363.43699999	12.63
78	579674.339	1475362.016	10.27
79	579981.9812	1475360.59899999	10.16
80	580289.6236	1475359.18599999	11.96
81	580597.266199999	1475357.776	10.21
82	580904.9091	1475356.36899999	13.6
83	581212.552099999	1475354.966	9.56
84	581520.1955	1475353.567	9.02
85	581827.839099999	1475352.171	11.99
86	582135.482899999	1475350.779	14.5
90	576599.4041	1475682.06799999	18.05
91	576907.0405	1475680.61599999	10.05
92	577214.677099999	1475679.16699999	12.38
93	577522.313899999	1475677.722	11.3699999999999
94	577829.951	1475676.28099999	10.8599999999999
95	578137.5884	1475674.843	19.3799999999999
96	578445.225899999	1475673.40899999	15.5399999999999
97	578752.863699999	1475671.97799999	15.81
98	579060.5017	1475670.55	11.4
99	579368.139899999	1475669.127	14.4499999999999
100	579675.7783	1475667.706	13.0
101	579983.417	1475666.289	13.99
102	580291.0559	1475664.87599999	10.98
103	580598.694999999	1475663.466	11.01
